,,,,,,,,,,,
EMPREITEIRO  :,,,,,,,,,,,
OBRA:,,,,,,,,,,,
PROPRIETÁRIOS :,,,,,,,,,,,
,,,,,,,,,,,
,,,DATA :,,,Valor total do contrato,,610000,,,
,MEDIÇÃO  :,,PERIODO :,,,ÁREA A SER CONSTRUÍDA : ,,495,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVIÇOS,ÍTEM,%,VALOR TOTAL,VALOR ACUM.,% ACUM.,VALOR,% MEDIÇÃO,VALOR,% ATUAL,,
,,,,ANTERIOR,ANTERIOR,MEDIÇÃO,,ATUAL,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CANTEIRO DE OBRAS E BARRACÃO,1.0,0.026,15860,0,0,0,0,0,0,,
,,,,,,,,,,,
Abrigo de agua e energia,2.0,0.01,6100,0,0,0,0,0,0,,
,,,,,,,,,,,
Gabarito e Marcação da obra,3.0,0.017,10370,0,0,0,0,0,0,,
,,,,,,,,,,,
Fundação Profunda (Acompanhamento de estacas ferragens e Concretagem),4.0,0.02,12200,0,0,0,0,0,0,,
,,,,,,,,,,,
"FUNDAÇÃO RASA ( Escavação de blocos e vigas, ferragens e concretagem ) ",5.0,0.049,29890,0,0,0,0,0,0,,
,,,,,,,,,,,
"BALDRAME ( ALVENARIA, REBOCO E IMPERMEABILIZAÇÃO)",6.0,0.018,10980,0,0,0,0,0,0,,
,,,,,,,,,,,
ALVENARIA,7,,,,,,,,,,
Pavto Inferior,7.1,0.032,19520,0,0,0,0,0,0,,
Pvto térreo,7.2,0.041,25010,0,0,0,0,0,0,,
Pvto Superior,7.3,0.041,25010,0,0,0,0,0,0,,
,,,,,,,,,,,
ESTRUTURA,8.0,,,,,,,,,,
Pavto Inferior,8.1,0.033,20130,0,0,0,0,0,0,,
Pvto térreo,8.2,0.042,25620,0,0,0,0,0,0,,
Pvto superior,8.3,0.048,29280,0,0,0,0,0,0,,
,,,,,,,,,,,
REVESTIMENTO INTERNO (Reboco),9.0,,,,,,,,,,
Pavto Inferior,9.1,0.03,18300,0,0,0,0,0,0,,
Pvto térreo,9.2,0.04,24400,0,0,0,0,0,0,,
Pvto superior,9.3,0.04,24400,0,0,0,0,0,0,,
,,,,,,,,,,,
,,,,,,,,,,,
REVESTIMENTO EXTERNO( Reboco),10.0,0.057,34770,0,0,0,0,0,0,,
,,,,,,,,,,,
Colocação e requadração de Contra marcos ),11.0,0.022,13420,0,0,0,0,0,0,,
,,,,,,,,,,,
Requadração de Vigas,12.0,0.012,7320,0,0,0,0,0,0,,
,,,,,,,,,,,
Cobertura Completa.,13.0,,,,,,,,,,
Platinbanda e Area Técnica.,13.1,0.02,12200,0,0,0,0,0,0,,
Contrapiso na Laje,13.2,0.02,12200,0,0,0,0,0,0,,
,,,,,,,,,,,
INSTALACOES ELÉTRICAS,14.0,,,,,,,,,,
Tubulacoes Lajes,14.1,0.008,4880,0,0,0,0,0,0,,
Tubulacoes de teto,14.2,0.008,4880,4880,0,0,0,4880,1,,
Tubulações de caixinhas e Paredes,14.3,0.008,4880,0,0,0,0,0,0,,
Fiação,14.4,0.007,4270,0,0,0,0,0,0,,
Quadros e disjuntores,14.5,0.008,4880,0,0,0,0,0,0,,
Caixa entrada,14.6,0.005,3050,0,0,0,0,0,0,,
Acabamentos de interruptores e Tomadas,14.7,0.006,3660,0,0,1098,0.3,1098,0.3,,
,,,,,,,,,,,
INSTALAÇÕES HIDRAULICAS,15.0,,,,,,,,,,
Passagem e drenos,15.1,0.008,4880,0,0,0,0,0,0,,
Tubulacoes e registros paredes,15.2,0.011,6710,0,0,0,0,0,0,,
Tubulação externa,15.3,0.005,3050,0,0,0,0,0,0,,
Tubulações aéreas,15.4,0.005,3050,0,0,0,0,0,0,,
